original_absolute_path	expected_files	actual_files	expected_dirs	actual_dirs	expected_symlinks	actual_symlinks	expected_bytes	actual_bytes	status
/Users/kian/.Trash/datacenter-atlas-coordinate-official-20260721-v4-xrw579	54	54	1	1	0	0	1692764	1692764	PASS
/Users/kian/.Trash/datacenter-atlas-coordinate-official-20260721-v5-MctywO	18	18	1	1	0	0	6538063	6538063	PASS
/Users/kian/.Trash/datacenter-atlas-federation-v30-prepublication-20260721-0322Z-9UHbCZ/bundle	3	3	1	1	0	0	32162	32162	PASS
/Users/kian/.Trash/datacenter-atlas-site-coordinate-assessment-v1-first-published-20260721-0235Z	9	9	2	2	0	0	52890	52890	PASS
/Users/kian/.Trash/datacenter-atlas-v68-coordinate-capture-20260721-1707Z-y0NdsP	79	79	2	2	0	0	57610841	57610841	PASS
/Users/kian/.Trash/dc-aws-clinton-20260722.wfMnfg	8	8	1	1	0	0	1960857	1960857	PASS
/Users/kian/.Trash/dc-bitdeer-sec-20260722.jDCZHn	12	12	1	1	0	0	237599	237599	PASS
/Users/kian/.Trash/dc-centra-novva-20260722.Szu08f	14	14	1	1	0	0	4717075	4717075	PASS
/Users/kian/.Trash/dc-coreweave-lancaster-20260722.tONYf2	16	16	1	1	0	0	1733862	1733862	PASS
/Users/kian/.Trash/dc-europe-latam-official-20260721.eA43A2	9	9	1	1	0	0	388405	388405	PASS
/Users/kian/.Trash/dc-gap-regions-20260721.2FfI4G	29	29	1	1	0	0	1475292	1475292	PASS
/Users/kian/.Trash/dc-global-official-asia-20260721.mSVmaD	35	35	1	1	0	0	21357081	21357081	PASS
/Users/kian/.Trash/dc-global-official-gap-20260722.k6hMux	50	50	1	1	0	0	7661235	7661235	PASS
/Users/kian/.Trash/dc-global-official-next-20260721.umOnmx	43	43	1	1	0	0	3315042	3315042	PASS
/Users/kian/.Trash/dc-global-underrepresented-20260721.iuUSa2	9	9	1	1	0	0	825960	825960	PASS
/Users/kian/.Trash/dc-goodman-databank-lax01-20260722.KCRl0m	8	8	1	1	0	0	20896741	20896741	PASS
/Users/kian/.Trash/dc-google-current-build-20260722.JXFqK4	30	30	1	1	0	0	5889063	5889063	PASS
/Users/kian/.Trash/dc-google-haskell-maize-pyramid-20260722.HYTTdd	28	28	1	1	0	0	17273154	17273154	PASS
/Users/kian/.Trash/dc-gov-builds-20260721.xwySIb	120	120	1	1	0	0	96466	96466	PASS
/Users/kian/.Trash/dc-hut8-riverbend-sec-20260722.7JfzTk	26	26	1	1	0	0	22490094	22490094	PASS
/Users/kian/.Trash/dc-india-build-gap.0X6WIC	30	30	1	1	0	0	3431628	3431628	PASS
/Users/kian/.Trash/dc-meta-current-build-20260722.gIC9Lb	12	12	1	1	0	0	1313782	1313782	PASS
/Users/kian/.Trash/dc-microsoft-current-build-20260721.rX1ieK	20	20	1	1	0	0	1907997	1907997	PASS
/Users/kian/.Trash/dc-nordic-iren-20260722.ekekNb	34	34	1	1	0	0	31806253	31806253	PASS
/Users/kian/.Trash/dc-official-africa-20260721.vjYILG	76	76	1	1	0	0	3699358	3699358	PASS
/Users/kian/.Trash/dc-official-builds-20260721.t7lZRV	28	28	1	1	0	0	5975311	5975311	PASS
/Users/kian/.Trash/dc-official-canada-mexico-20260721.pGmRVm	64	64	1	1	0	0	9699824	9699824	PASS
/Users/kian/.Trash/dc-official-cee-20260721.z5x8RN	83	83	1	1	0	0	1664612	1664612	PASS
/Users/kian/.Trash/dc-official-china-gap-20260721.BUEbM9	39	39	1	1	0	0	510600	510600	PASS
/Users/kian/.Trash/dc-official-coordinate-gap-20260722.4CXd7D	16	16	1	1	0	0	182028	182028	PASS
/Users/kian/.Trash/dc-official-current-build-20260721.4OxM11	18	18	1	1	0	0	5041791	5041791	PASS
/Users/kian/.Trash/dc-official-current-gap-20260722.jce4gD	30	30	1	1	0	0	13100740	13100740	PASS
/Users/kian/.Trash/dc-official-gap-20260724.fcDR2r	20	20	1	1	0	0	3916471	3916471	PASS
/Users/kian/.Trash/dc-official-latam-caribbean-20260721.pPqxte	31	31	1	1	0	0	16208486	16208486	PASS
/Users/kian/.Trash/dc-official-middle-east-turkiye-20260721.0cD4aL	26	26	1	1	0	0	3058430	3058430	PASS
/Users/kian/.Trash/dc-official-oceania-20260721.xLyZD6	40	40	1	1	0	0	2824074	2824074	PASS
/Users/kian/.Trash/dc-operator-social-next-20260721.HOCD94	60	60	1	1	0	0	1200123	1200123	PASS
/Users/kian/.Trash/dc-regional-gap-20260721.pz8R6c	67	67	1	1	0	0	6784984	6784984	PASS
/Users/kian/.Trash/dc-regional-gap-chrome-20260721.pz8R6c	553	553	337	337	4	4	110539474	110539474	PASS
/Users/kian/.Trash/dc-regional-gap.Q63EWa	9	9	1	1	0	0	638042	638042	PASS
/Users/kian/.Trash/dc-riot-20260721.DX92tY	17	17	1	1	0	0	1477617	1477617	PASS
/Users/kian/.Trash/dc-sabey-current-build-20260722.dJUc9C	12	12	1	1	0	0	587054	587054	PASS
/Users/kian/.Trash/dc-second-underrepresented-20260721.neWRig	9	9	1	1	0	0	330799	330799	PASS
/Users/kian/.Trash/dc-unresolved-four-20260721.VMKPdG	95	95	1	1	0	0	2104407	2104407	PASS
/Users/kian/.Trash/dc-vantage-nv1-20260722.OHFtAs	8	8	1	1	0	0	9532448	9532448	PASS
/Users/kian/.Trash/dca-apac-mea-nine.gop3VK	71	71	1	1	0	0	5034937	5034937	PASS
/Users/kian/.Trash/dca-apld-pf1-phase1.eKfqxk	3	3	1	1	0	0	30550	30550	PASS
/Users/kian/.Trash/dca-cdc-be1-y4fq47	3	3	1	1	0	0	122777	122777	PASS
/Users/kian/.Trash/dca-digital-realty-vie13-20260720-SEl18o	9	9	1	1	0	0	7620407	7620407	PASS
/Users/kian/.Trash/dca-oracle-abilene-20260720.lSIkbK	35	35	2	2	0	0	5265530	5265530	PASS
/Users/kian/.Trash/esr-bupyeong-kr1-FlYL3B	10	10	1	1	0	0	10711254	10711254	PASS
/Users/kian/.Trash/esr-hk1-phase2-MfsGY5	10	10	1	1	0	0	10748982	10748982	PASS
/Users/kian/.Trash/official-gap-tranche-2026-07-20-jliZz1	63	63	1	1	0	0	8779467	8779467	PASS
/Users/kian/.Trash/puredc-ams01-1WrvPW	6	6	1	1	0	0	198733	198733	PASS
/Users/kian/.Trash/puredc-identity-DUeA1q	6	6	1	1	0	0	57015	57015	PASS
/private/tmp/coverage-v32-debug-20260724-a	7	7	2	2	0	0	8320473	8320473	PASS
/private/tmp/dc-apac-official-discovery-20260724.Dcf64Z	8	8	1	1	0	0	289922	289922	PASS
/private/tmp/dc-cee-nxdata-gap-20260722.sMJBya	26	26	1	1	0	0	10155285	10155285	PASS
/private/tmp/dc-microsoft-mount-pleasant-20260724.6uHVN3	4	4	1	1	0	0	384048	384048	PASS
/private/tmp/dc-nordic-prepublication-20260722.jN0cUf	12	12	1	1	0	0	436607	436607	PASS
