site_id,physical_site_stable_key,name,country,country_iso_a2,latitude,longitude,geometry_json,geometry_type,geometry_source_entity_kinds_json,geometry_derivations_json,geometry_methods_json,geometry_scope_classes_json,geometry_precision_scopes_json,horizontal_uncertainty_metres,horizontal_uncertainty_unknown_reason,geometry_evidence_ids_json,project_count,project_ids_json,project_stable_keys_json,statuses_json,oldest_status_as_of,newest_status_as_of,verification_posture,independent_imagery_verification,imagery_review_outcomes_json
vcc-site-cc8bbdad8c252d9ba4e2,curated:akashi-astana-data-center-campus,Akashi Astana Data Center Campus,Kazakhstan,KZ,51.2067694444,71.4577083333,"{""coordinates"":[71.4577083333,51.2067694444],""type"":""Point""}",Point,"[""project""]","[""direct_geometry""]","[""authoritative_site_plan""]","[""same_parcel_infrastructure_reference_point""]","[""Official site-plan point for a substation within the same data-centre parcel; 500 metre stated uncertainty and not a hall footprint.""]",500,,"[""ff1fe928-217c-5369-8ab1-5dce1a637677""]",1,"[""44130f9f-95af-5f19-9fcf-47aabd3a5c8b""]","[""curated:akashi-astana-data-center-campus:phase-1-current-build""]","[""under_construction""]",2026-07-21,2026-07-21,recent_authoritative_physical_observation_plus_reviewed_site_locator,false,"[""not_reviewed_for_core_preview""]"
vcc-site-fe9285f72381fc346e86,curated:ast-janciems-dispatcher-control-data-center,AST Jāņciems Dispatcher Control and Data Centre,Latvia,LV,56.933100002,24.1814716538,"{""coordinates"":[24.1814716538,56.933100002],""type"":""Point""}",Point,"[""project""]","[""direct_geometry""]","[""authoritative_address_geocode""]","[""facility_address_point""]","[""Current Latvian State Land Service address-register point, facility-specific, with 20 metre stated uncertainty.""]",20,,"[""458f3a8b-8978-5fa6-a7f9-35d2f1801375""]",1,"[""98e47ac5-8576-53f7-ab71-9f3d683b5ec5""]","[""curated:ast-janciems-dispatcher-control-data-center:fit-out-after-building-completion""]","[""shell""]",2026-06-27,2026-06-27,recent_authoritative_physical_observation_plus_reviewed_site_locator,false,"[""not_reviewed_for_core_preview""]"
vcc-site-6727a9539ece2f19ad23,curated:avaio-taurus-brandon-mississippi-campus,AVAIO Digital Taurus Data Center Campus,United States,US,32.2593,-90.0185,"{""coordinates"":[-90.0185,32.2593],""type"":""Point""}",Point,"[""project""]","[""coordinates_to_point""]","[""authoritative_site_plan""]","[""first_party_campus_reference_point""]","[""First-party Taurus campus location point derived exactly from the published latitude and longitude; not the 329-acre boundary, a parcel, building footprint, measured centroid, or phase-one outline.""]",,official source does not state positional accuracy,"[""68b10772-f3b4-5152-bffe-23d34c4f8477""]",1,"[""37e33657-b788-57e6-98f2-b78834cdecda""]","[""curated:avaio-taurus-brandon-mississippi-campus:phase-one-current-campus-build""]","[""under_construction""]",2026-07-20,2026-07-20,recent_authoritative_physical_observation_plus_reviewed_site_locator,false,"[""tracked_identity_bound_uncertain_with_unadjudicated_later_stricter_review_no_construction_claim""]"
vcc-site-3c1f872aa59b74b065ea,curated:cdc-eastern-creek-campus,CDC Eastern Creek Campus,Australia,AU,-33.818072,150.837668,"{""coordinates"":[150.837668,-33.818072],""type"":""Point""}",Point,"[""project""]","[""direct_geometry""]","[""authoritative_site_plan""]","[""shared_campus_reference_point""]","[""Official NSW project-site representative point for the shared Eastern Creek campus; not an EC5 building footprint."",""Official NSW project-site representative point for the shared Eastern Creek campus; not an EC6 building footprint.""]",250,,"[""6e5dc4f7-2b39-5a4a-8dc3-f0e20691527b"",""a4ae0a31-3e69-5886-ad17-7d2402e15677""]",2,"[""2e2b9d40-5024-5e6d-bbb2-56a8b16b9c16"",""5c366d64-4bb5-5c28-ab62-ec20d60fb31a""]","[""curated:cdc-eastern-creek-campus:ec5-current-build"",""curated:cdc-eastern-creek-campus:ec6-current-build""]","[""under_construction""]",2026-07-21,2026-07-21,recent_authoritative_physical_observation_plus_reviewed_site_locator,false,"[""not_reviewed_for_core_preview""]"
vcc-site-782c0112e90a5282be53,curated:coresite-de3-race-street-campus,CoreSite DE3 Race Street Campus,United States,US,39.78611497442305,-104.962772152554,"{""coordinates"":[[[-104.963184722902,39.7856242412933],[-104.963179734656,39.7863032468357],[-104.963175995665,39.7863414056315],[-104.963165423572,39.7863787939894],[-104.963165323691,39.7863790313089],[-104.963154106409,39.7864175160577],[-104.963150145341,39.7864568432731],[-104.963148623641,39.7866638850603],[-104.963146455246,39.78667993711],[-104.963140269725,39.7866953544454],[-104.963130304737,39.7867095446967],[-104.96311694316,39.7867219626412],[-104.963100698373,39.786732131152],[-104.963082194541,39.7867396595307],[-104.963062142623,39.786744258519],[-104.963041313063,39.7867457514126],[-104.962568186015,39.7867436812468],[-104.962568367245,39.7867189814144],[-104.962547023802,39.7867188876023],[-104.962547810723,39.7866118546995],[-104.962435362935,39.7866113621219],[-104.96241771334,39.786609972382],[-104.962400732488,39.7866060081017],[-104.962391708499,39.7866018525524],[-104.962384652022,39.786595844242],[-104.962380178868,39.7865885075093],[-104.962378679404,39.7865804826228],[-104.962378915748,39.786548454352],[-104.962376287447,39.7865379453045],[-104.962368649095,39.7865290108154],[-104.962359545114,39.7865219062551],[-104.962362761218,39.7860851537574],[-104.962382326547,39.7860852394855],[-104.962382528891,39.786057795425],[-104.96236296357,39.7860577096969],[-104.962366600434,39.7855638174078],[-104.96238581252,39.7855390132134],[-104.962411330955,39.7855178626754],[-104.962475432584,39.7855181418025],[-104.96247563688,39.7854902861421],[-104.962502046009,39.7854856685812],[-104.962529057635,39.7854841974335],[-104.963007903308,39.7854862929751],[-104.96304255837,39.7854890736954],[-104.963075845586,39.7854970140258],[-104.963106487262,39.7855098091853],[-104.96313330725,39.7855269680459],[-104.963155276089,39.7855478319825],[-104.963171550524,39.7855716001546],[-104.96318150587,39.7855973602445],[-104.963184759994,39.7856241234756],[-104.963184759663,39.7856241667059],[-104.963184722902,39.7856242412933]]],""type"":""Polygon""}",Polygon,"[""project""]","[""direct_geometry""]","[""authoritative_tax_parcel""]","[""tax_parcel_boundary""]","[""Exact Denver tax-parcel polygon whose returned owner is CoreSite Real Estate DE3 LLC; not a building footprint.""]",,official source does not state positional accuracy,"[""58cd4851-129d-59c4-9cb0-4f24070a71a9""]",1,"[""65e8849e-2ebe-5d58-be63-299cbbcf8d23""]","[""curated:coresite-de3-race-street-campus:de3""]","[""under_construction""]",2026-07-20,2026-07-20,recent_authoritative_physical_observation_plus_official_boundary,false,"[""tracked_blind_clear_locally_unsealed_identity_no_construction_claim""]"
vcc-site-9369a9dbb7d04a9e1327,curated:edged-chicago-aurora-campus,Edged Chicago Aurora Data Center Campus,United States,US,41.806967678,-88.240996871,"{""coordinates"":[-88.240996871,41.806967678],""type"":""Point""}",Point,"[""project""]","[""direct_geometry""]","[""authoritative_address_geocode""]","[""campus_address_point""]","[""Exact City of Aurora address point for 2835 Bilter Road on the Edged Chicago LLC-owned parcel; not an ORD01-2 footprint.""]",,official source does not state positional accuracy,"[""98fcd750-ba33-537e-8669-fe8d1db1a6c6""]",1,"[""b8399bc6-5c72-5627-a035-4fea208cd287""]","[""curated:edged-chicago-aurora-campus:ord01-2""]","[""shell""]",2026-06-04,2026-06-04,recent_authoritative_physical_observation_plus_reviewed_site_locator,false,"[""not_reviewed_for_core_preview""]"
vcc-site-c48f4a7325dfc30566cd,curated:kao-data-harlow-campus,KAO Data Harlow Campus,United Kingdom,GB,51.770073603,0.130495857,"{""coordinates"":[0.130495857,51.770073603],""type"":""Point""}",Point,"[""campus""]","[""coordinates_to_point""]","[""government_hosted_report_coordinate_conversion""]","[""government_report_campus_centre_point""]","[""Campus-centre point derived deterministically from EPSG:27700 easting 547101 and northing 210080 supplied by the government-hosted KLON-03 site report. It is not a parcel, campus boundary, KLON-03 building centroid or footprint, and the report states no horizontal positional accuracy.""]",,official source does not state positional accuracy,"[""b133a4dc-126f-5e44-8841-f770b6fa9ad0""]",1,"[""7206a400-093d-5c92-b1c5-c4243807de29""]","[""curated:kao-data-harlow-campus:klon-03-building""]","[""under_construction""]",2026-05-26,2026-05-26,recent_authoritative_physical_observation_plus_reviewed_site_locator,false,"[""tracked_identity_bound_uncertain_with_unadjudicated_later_clear_conflict_no_construction_claim""]"
vcc-site-cc86e5f5e64a0438e8c1,curated:lvrtc-pozitrons-kurzeme-data-center,LVRTC Pozitrons Kurzeme Data Center,Latvia,LV,56.9356302057,22.0132502617,"{""coordinates"":[22.0132502617,56.9356302057],""type"":""Point""}",Point,"[""project""]","[""direct_geometry""]","[""authoritative_site_plan""]","[""parcel_reference_point""]","[""Government cadastral reference point for the reported 113,200 square metre project parcel; 300 metre stated uncertainty.""]",300,,"[""a16dbcad-9b13-557e-9b38-46e3305bcc0e""]",1,"[""e997ad94-2a62-5c44-90f9-fa27edf77dc2""]","[""curated:lvrtc-pozitrons-kurzeme-data-center:phase-1-current-build""]","[""under_construction""]",2026-06-30,2026-06-30,recent_authoritative_physical_observation_plus_reviewed_site_locator,false,"[""not_reviewed_for_core_preview""]"
vcc-site-75fed87a1b38b8cd7280,curated:maincubes-mainhub-nauen-campus,maincubes mainHub Nauen Campus,Germany,DE,52.5935,12.8929999,"{""coordinates"":[12.8929999,52.5935],""type"":""Point""}",Point,"[""project""]","[""coordinates_to_point""]","[""authoritative_site_plan""]","[""first_party_shared_campus_reference_point""]","[""First-party BER02/mainHub Nauen location point derived exactly from the published latitude and longitude; not a parcel, building outline, footprint, or measured centroid.""]",,official source does not state positional accuracy,"[""1e5b63b2-b334-52e0-94a1-f78d02457964""]",1,"[""3941c42e-216d-52fa-b0d8-d7555b441a1a""]","[""curated:maincubes-mainhub-nauen-campus:ber02""]","[""under_construction""]",2026-07-19,2026-07-19,recent_authoritative_physical_observation_plus_reviewed_site_locator,false,"[""tracked_identity_bound_reject_with_unadjudicated_later_conflict_no_construction_claim""]"
vcc-site-942a847c35703b15ea18,curated:scala-huechuraba-campus,Scala Huechuraba Campus,Chile,CL,-33.36636,-70.67394,"{""coordinates"":[-70.67394,-33.36636],""type"":""Point""}",Point,"[""project""]","[""direct_geometry""]","[""official_environmental_review_representative_point""]","[""official_environmental_review_project_reference_point""]","[""Official Chilean environmental-review representative point for expediente 2162968448, rounded to five decimals with a conservative 50 metre analyst envelope. It is a project/site locator, not a parcel, campus boundary, building footprint, measured centroid, or survey-accuracy claim.""]",50,,"[""ef77b545-7802-50fa-b150-20b050eddec0""]",1,"[""3170da28-25e1-5859-b606-f86c78ba5c0f""]","[""curated:scala-huechuraba-campus:ssclhb01""]","[""under_construction""]",2026-07-21,2026-07-21,recent_authoritative_physical_observation_plus_reviewed_site_locator,false,"[""not_reviewed_for_core_preview""]"
